"term","country","topic"
"1072","Serbia","Finland","Politics"
"1073","DNA","Finland","Science & Technology"
"1074","Nvidia","Finland","Science & Technology"
"1075","Nvidia stock","Finland","Science & Technology"
"1076","GME stock","Finland","Business & Finance"
"1077","Sale","Finland","Business & Finance"
"1078","Dagestan","Finland","Culture & Society"
"1079","Father's Day","Finland","Culture & Society"
"1080","Fiona Harvey","Finland","Health & Medicine"
"1081","Florida Edmonton","Finland","Health & Medicine"
"1082","Florida Panthers","Finland","Health & Medicine"
"1083","Lia Thomas","Finland","Health & Medicine"
"1084","Michael Mosley","Finland","Health & Medicine"
"1085","Telegram","Finland","Science & Technology"
"1086","iOS 18","Finland","Science & Technology"
"1087","Apple","France","Science & Technology"
"1088","Shivon Zilis","Finland","Entertainment"
"1089","Sideways","Finland","Entertainment"
"1090","Tamayo Perry","Finland","Entertainment"
"1091","Ticketmaster","Finland","Entertainment"
"1092","Whitney Houston","Finland","Entertainment"
"1093","Anouk Aimée","France","Entertainment"
"1094","Donald Sutherland","France","Entertainment"
"1095","Celine Dion","France","Entertainment"
"1096","Jodie Devos","France","Entertainment"
"1097","The left","Finland","Politics"
"1098","Ursula von der Leyen","Finland","Politics"
"1099","Joe Biden","France","Politics"
"1100","Eric Ciotti republicains","France","Politics"
"1101","Francois Hollande","France","Politics"
"1102","Hunter Biden","France","Politics"
"1103","Claudia Sheinbaum","France","Politics"
"1104","Christophe Deloire","France","Politics"
"1105","Front populaire","France","Politics"
"1106","Dissolution Assemblée nationale","France","Politics"
"1107","Swiatek","Finland","Sports"
"1108","Tentoglou","Finland","Sports"
"1109","U.S. Open golf","Finland","Sports"
"1110","UFC","Finland","Sports"
"1111","Zverev","Finland","Sports"
"1112","Alcaraz","France","Sports"
"1113","Alex de Minaur","France","Sports"
"1114","Andreeva","France","Sports"
"1115","Barnabas Varga","France","Sports"
"1116","Carlos Alcaraz","France","Sports"
"1117","Coco Gauff","France","Sports"
"1118","Djokovic","France","Sports"
"1119","De Zerbi","France","Sports"
"1120","Draft NBA 2024","France","Sports"
"1121","Foot","France","Sports"
"1122","Finale Roland-Garros","France","Sports"
"1123","Finale Roland-Garros 2024","France","Sports"
"1124","Euro 2024","France","Sports"
"1125","F1","France","Sports"
"1126","Formule 1","France","Sports"
"1127","FC Metz","France","Sports"
"1128","Atos","France","Business & Finance"
"1129","Colleville-sur-Mer","France","Travel & Tourism"
"1130","Cordes-sur-Ciel","France","Travel & Tourism"
"1131","France","France","Economy"
"1132","Appel du 18 juin","France","Culture & Society"
"1133","Guillaume Meurice","France","Culture & Society"
"1134","Fête des pères","France","Lifestyle"
"1135","Shivon Zilis","Finland","Entertainment"
"1136","Sideways","Finland","Entertainment"
"1137","Tamayo Perry","Finland","Entertainment"
"1138","Ticketmaster","Finland","Entertainment"
"1139","Whitney Houston","Finland","Entertainment"
"1140","Anouk Aimée","France","Entertainment"
"1141","Donald Sutherland","France","Entertainment"
"1142","Celine Dion","France","Entertainment"
"1143","Jodie Devos","France","Entertainment"
"1144","Shivon Zilis","Finland","Entertainment"
"1145","Sideways","Finland","Entertainment"
"1146","Tamayo Perry","Finland","Entertainment"
"1147","Ticketmaster","Finland","Entertainment"
"1148","Whitney Houston","Finland","Entertainment"
"1149","Anouk Aimée","France","Entertainment"
"1150","Donald Sutherland","France","Entertainment"
"1151","Celine Dion","France","Entertainment"
"1152","Jodie Devos","France","Entertainment"
"1153","Julian Assange","France","Politics"
"1154","Macron","France","Politics"
"1155","Marine Le Pen","France","Politics"
"1156","Laurent Wauquiez","France","Politics"
"1157","Olivier Faure","France","Politics"
"1158","Programme Front populaire 2024","France","Politics"
"1159","Resultat election européenne 2024","France","Politics"
"1160","Résultats des élections européennes","France","Politics"
"1161","Résultats des élections à Union européenne","France","Politics"
"1162","SONDAGE. Législatives 2024","France","Politics"
"1163","Claudia Sheinbaum","Germany","Politics"
"1164","Alexander Schweitzer","Germany","Politics"
"1165","Kylian Mbappé","France","Sports"
"1166","Landry Nguemo","France","Sports"
"1167","LeBron James","France","Sports"
"1168","Match France","France","Sports"
"1169","Novak Djokovic","France","Sports"
"1170","Swiatek","France","Sports"
"1171","Tsitsipas","France","Sports"
"1172","Zverev","France","Sports"
"1173","Serbie-Angleterre","France","Sports"
"1174","UBB Stade Français","France","Sports"
"1175","Ukraine – Belgique","France","Sports"
"1176","Pologne Autriche","France","Sports"
"1177","Portugal Turquie","France","Sports"
"1178","Portugal georgie","France","Sports"
"1179","Portugal republique tcheque","France","Sports"
"1180","Top 14","France","Sports"
"1181","DFB","Germany","Sports"
"1182","De Minaur","Germany","Sports"
"1183","Dänemark","Germany","Sports"
"1184","Deutschland","Germany","Sports"
"1185","Deutschland Griechenland","Germany","Sports"
"1186","Deutschland Schottland","Germany","Sports"
"1187","Deutschland Schweiz","Germany","Sports"
"1188","Deutschland Ungarn","Germany","Sports"
"1189","EM","Germany","Sports"
"1190","Em Spiele","Germany","Sports"
"1191","Emre Can","Germany","Sports"
"1192","Secret Story","France","Entertainment"
"1193","Kate Middleton","France","Entertainment"
"1194","Kevin Mayer","France","Entertainment"
"1195","Marc Lavoine","France","Entertainment"
"1196","Max","France","Entertainment"
"1197","Pierre Niney","France","Entertainment"
"1198","Marthe Keller","France","Entertainment"
"1199","A Quiet Place","France","Entertainment"
"1200","Donald Sutherland","Germany","Entertainment"
"1201","Mirage 2000-5","France","Science & Technology"
"1202","Apple","Germany","Science & Technology"
"1203","BYD","Germany","Science & Technology"
"1204","PPE","France","Health & Medicine"
"1205","Sous la Seine","France","Environment"
"1206","Mon Master","France","Education"
"1207","Sujet Bac philo 2024","France","Education"
"1208","Sujet bac français 2024","France","Education"
"1209","PPE","France","Education"
"1210","Squeezie","France","Lifestyle"
"1211","Sephora","France","Lifestyle"
"1212","Arian","Germany","Lifestyle"
"1213","Tsitsipas","France","Culture & Society"
"1214","LeBron James","France","Culture & Society"
"1215","Donald Sutherland","France","Culture & Society"
"1216","Tamayo Perry","France","Culture & Society"
"1217","Serge Klarsfeld","France","Culture & Society"
"1218","Tomer Sisley","France","Culture & Society"
"1219","D-Day","Germany","Culture & Society"
"1220","EZB zinsentscheid","Germany","Business & Finance"
"1221","La berarde","France","Travel & Tourism"
"1222","Europawahl","Germany","Politics"
"1223","Europawahl 2024 wahlzettel","Germany","Politics"
"1224","Europawahl Hochrechnung","Germany","Politics"
"1225","Europawahlen","Germany","Politics"
"1226","Kommunalwahlen 2024. Ergebnisse","Germany","Politics"
"1227","Krah","Germany","Politics"
"1228","Macron","Germany","Politics"
"1229","Volt","Germany","Politics"
"1230","2024 választás","Hungary","Politics"
"1231","Formel 1","Germany","Sports"
"1232","Formel-1","Germany","Sports"
"1233","French Open Finale","Germany","Sports"
"1234","Fussball","Germany","Sports"
"1235","Fussball em","Germany","Sports"
"1236","Fußball","Germany","Sports"
"1237","Füllkrug","Germany","Sports"
"1238","Haaland","Germany","Sports"
"1239","Holger Rune","Germany","Sports"
"1240","Leichtathletik-EM","Germany","Sports"
"1241","Leichtathletik-EM 2024","Germany","Sports"
"1242","LeBron James","Germany","Sports"
"1243","Modric","Germany","Sports"
"1244","Musiala","Germany","Sports"
"1245","Nagelsmann","Germany","Sports"
"1246","Nico Williams","Germany","Sports"
"1247","Olise","Germany","Sports"
"1248","Ronaldo","Germany","Sports"
"1249","Schottland Ungarn","Germany","Sports"
"1250","Schweiz Schottland","Germany","Sports"
"1251","Tennis","Germany","Sports"
"1252","Terzic","Germany","Sports"
"1253","Toni Kroos","Germany","Sports"
"1254","Türkei Georgien","Germany","Sports"
"1255","Türkei vs Georgien","Germany","Sports"
"1256","Zverev French Open","Germany","Sports"
"1257","FTI","Germany","Travel & Tourism"
"1258","Italien","Germany","Travel & Tourism"
"1259","Kroatien","Germany","Travel & Tourism"
"1260","Kroatien Albanien","Germany","Travel & Tourism"
"1261","Kroatien Italien","Germany","Travel & Tourism"
"1262","Portugal","Germany","Travel & Tourism"
"1263","Schweiz","Germany","Travel & Tourism"
"1264","Spanien","Germany","Travel & Tourism"
"1265","Türkei","Germany","Travel & Tourism"
"1266","Fredl Fesl","Germany","Entertainment"
"1267","Peter Maffay","Germany","Entertainment"
"1268","Roland Kaiser","Germany","Entertainment"
"1269","Shirin David","Germany","Entertainment"
"1270","Sophia Thiel","Germany","Entertainment"
"1271","Summer Game Fest 2024","Germany","Entertainment"
"1272","Europawahl","Germany","Politics"
"1273","Europawahl 2024 wahlzettel","Germany","Politics"
"1274","Europawahl Hochrechnung","Germany","Politics"
"1275","Europawahlen","Germany","Politics"
"1276","Kommunalwahlen 2024. Ergebnisse","Germany","Politics"
"1277","Krah","Germany","Politics"
"1278","Macron","Germany","Politics"
"1279","Volt","Germany","Politics"
"1280","2024 választás","Hungary","Politics"
"1281","Kate","Germany","Lifestyle"
"1282","Sommersonnenwende","Germany","Lifestyle"
"1283","Gelsenkirchen","Germany","Culture & Society"
"1284","Hamburg","Germany","Culture & Society"
"1285","Saarbrücken","Germany","Culture & Society"
"1286","Solingen","Germany","Culture & Society"
"1287","JP-Morgan-Lauf","Germany","Business & Finance"
"1288","Lars Windhorst","Germany","Business & Finance"
"1289","Rivian","Germany","Business & Finance"
"1290","Stuttgart 21","Germany","Business & Finance"
"1291","Hurricane Festival","Germany","Science & Technology"
"1292","IG Metall","Germany","Health & Medicine"
"1293","Polizei","Germany","Health & Medicine"
"1294","Polizist Mannheim","Germany","Health & Medicine"
"1295","Sechs-Tage-Woche Griechenland","Germany","Health & Medicine"
"1296","Katrin Vernau","Germany","Education"
"1297","Klaus Töpfer","Germany","Education"
"1298","TU Berlin, Geraldine Rauch","Germany","Education"
"1299","Fredl Fesl","Germany","Entertainment"
"1300","Peter Maffay","Germany","Entertainment"
"1301","Roland Kaiser","Germany","Entertainment"
"1302","Shirin David","Germany","Entertainment"
"1303","Sophia Thiel","Germany","Entertainment"
"1304","Summer Game Fest 2024","Germany","Entertainment"
"1305","Hurricane Festival","Germany","Science & Technology"
"1306","Albánia–spanyolország","Hungary","Sports"
"1307","Anglia Szlovénia Eb","Hungary","Sports"
"1308","Anglia szlovenia","Hungary","Sports"
"1309","Beckenbauer","Hungary","Sports"
"1310","Belgium Szlovákia","Hungary","Sports"
"1311","Bolla Bendegúz","Hungary","Sports"
"1312","Csehország–törökország","Hungary","Sports"
"1313","Csoboth Kevin","Hungary","Sports"
"1314","Eriksen","Hungary","Sports"
"1315","F1","Hungary","Sports"
"1316","Forma-1","Hungary","Sports"
"1317","Franciaország–lengyelország","Hungary","Sports"
"1318","Győri Audi ETO","Hungary","Sports"
"1319","Hollandia–franciaország","Hungary","Sports"
"1320","Horvátország–Albánia","Hungary","Sports"
"1321","Horvátország–olaszország","Hungary","Sports"
"1322","Kane","Hungary","Sports"
"1323","Kylian Mbappé","Hungary","Sports"
"1324","Lengyelország-Hollandia","Hungary","Sports"
"1325","Lewandowski","Hungary","Sports"
"1326","Lukaku","Hungary","Sports"
"1327","Magyar válogatott","Hungary","Sports"
"1328","Magyar-német meccs","Hungary","Sports"
"1329","Magyar-skót meccs","Hungary","Sports"
"1330","Magyarország Svájc","Hungary","Sports"
"1331","Magyarország–izrael","Hungary","Sports"
"1332","Mbappe","Hungary","Sports"
"1333","Német-magyar meccs","Hungary","Sports"
"1334","Németország Skócia","Hungary","Sports"
"1335","Olaszorszag albania","Hungary","Sports"
"1336","Apple Pay","Hungary","Business & Finance"
"1337","Balázs Kicks","Hungary","Culture & Society"
"1338","Next Top Model Hungary győztes","Hungary","Culture & Society"
"1339","Bangó Margit","Hungary","Entertainment"
"1340","Bill Cobbs","Hungary","Entertainment"
"1341","Bill Murray","Hungary","Entertainment"
"1342","Billie Eilish","Hungary","Entertainment"
"1343","Bridgerton","Hungary","Entertainment"
"1344","Chance Perdomo","Hungary","Entertainment"
"1345","Coldplay","Hungary","Entertainment"
"1346","Crazy Town","Hungary","Entertainment"
"1347","Csobot Adél","Hungary","Entertainment"
"1348","Donald Sutherland","Hungary","Entertainment"
"1349","Elcserélt életek","Hungary","Entertainment"
"1350","Eva Mendes","Hungary","Entertainment"
"1351","Evangeline Lilly","Hungary","Entertainment"
"1352","Hawk Tuah Girl","Hungary","Entertainment"
"1353","Hundred Sins","Hungary","Entertainment"
"1354","Jordán Tamás","Hungary","Entertainment"
"1355","Kern András","Hungary","Entertainment"
"1356","Lady Gaga","Hungary","Entertainment"
"1357","Manuel","Hungary","Entertainment"
"1358","Moldován András","Hungary","Entertainment"
"1359","Munch","Hungary","Entertainment"
"1360","Mwajas Kriszta","Hungary","Entertainment"
"1361","EPP","Hungary","Politics"
"1362","Főpolgármester-választás újraszámlálás","Hungary","Politics"
"1363","Gattyán György","Hungary","Politics"
"1364","Gyurcsány Ferenc","Hungary","Politics"
"1365","Orbán Viktor","Hungary","Politics"
"1366","Georgia","Hungary","Education"
"1367","Húsevő baktérium","Hungary","Health & Medicine"
"1368","Időjárás","Hungary","Environment"
"1369","BinX","Hungary","Science & Technology"
"1370","Magyar Péter","Hungary","Economy"
"1371","Nyári napforduló","Hungary","Lifestyle"
"1372","Kalocsa","Hungary","Travel & Tourism"
"1373","Crazy Town","Hungary","Music"
"1374","Billie Eilish","Hungary","Music"
"1375","Coldplay","Hungary","Music"
"1376","Pascal Jansen","Hungary","Sports"
"1377","Pepe","Hungary","Sports"
"1378","Ronald Koeman","Hungary","Sports"
"1379","Ronaldo","Hungary","Sports"
"1380","Skócia–Magyarország","Hungary","Sports"
"1381","Spanyolország–Olaszország","Hungary","Sports"
"1382","Spanyolország–horvátország","Hungary","Sports"
"1383","Svédország Skócia","Hungary","Sports"
"1384","Svédország–németország","Hungary","Sports"
"1385","Germany vs Hungary","India","Sports"
"1386","AFG vs AUS","India","Sports"
"1387","AFG vs BAN","India","Sports"
"1388","AUS vs IND","India","Sports"
"1389","Afghanistan vs South Africa","India","Sports"
"1390","IND vs AUS","India","Sports"
"1391","IND vs BAN","India","Sports"
"1392","IND vs CAN","India","Sports"
"1393","IND vs ENG","India","Sports"
"1394","IND vs IRE","India","Sports"
"1395","IND vs PAK match","India","Sports"
"1396","Cricket","India","Sports"
"1397","Bangladesh vs Netherlands","India","Sports"
"1398","Australia vs England","India","Sports"
"1399","Robert Fico","Hungary","Politics"
"1400","Rogán Antal","Hungary","Politics"
"1401","Szavazás 2024","Hungary","Politics"
"1402","Románia Ukrajna","Hungary","Politics"
"1403","Szlovákia–Románia","Hungary","Politics"
"1404","Szavazas 2024","Hungary","Politics"
"1405","Tasó László","Hungary","Politics"
"1406","Törökország–portugália","Hungary","Politics"
"1407","Választás 2024","Hungary","Politics"
"1408","Valasztas 2024","Hungary","Politics"
"1409","Ap elections 2024","India","Politics"
"1410","Election Result","India","Politics"
"1411","Election Results 2024","India","Politics"
"1412","Election results 2024 India","India","Politics"
"1413","Radar","Hungary","Science & Technology"
"1414","SpaceX","Hungary","Science & Technology"
"1415","Centipede","India","Science & Technology"
"1416","Roger Moore","Hungary","Entertainment"
"1417","House of the Dragon","India","Entertainment"
"1418","Alka Yagnik","India","Music"
"1419","Pride 2024","Hungary","Culture & Society"
"1420","Trianon","Hungary","Culture & Society"
"1421","Eid","India","Culture & Society"
"1422","Eid-ul-Adha","India","Culture & Society"
"1423","Father's Day","India","Culture & Society"
"1424","Father's Day 2024","India","Culture & Society"
"1425","Vitézy Dávid","Hungary","Lifestyle"
"1426","Haris Rauf","India","Health & Medicine"
"1427","Amit Malviya","India","Business & Finance"
"1428","Tiszapárt","Hungary","Food & Drink"
"1429","Tisza","Hungary","Food & Drink"
"1430","Szakács István","Hungary","Food & Drink"
"1431","Meloni","India","Politics"
"1432","Modi","India","Politics"
"1433","Nitish Kumar","India","Politics"
"1434","Om Birla","India","Politics"
"1435","PM Modi","India","Politics"
"1436","Sam Pitroda","India","Politics"
"1437","Samajwadi Party","India","Politics"
"1438","Tamilisai Soundararajan","India","Politics"
"1439","Vladimir Putin","India","Politics"
"1440","India Pakistan match","India","Sports"
"1441","India vs Australia","India","Sports"
"1442","India vs Bangladesh","India","Sports"
"1443","India vs Canada","India","Sports"
"1444","India vs Ireland","India","Sports"
"1445","India vs Kuwait","India","Sports"
"1446","India vs Pakistan","India","Sports"
"1447","India vs South Africa","India","Sports"
"1448","India vs USA","India","Sports"
"1449","New Zealand vs Papua New Guinea","India","Sports"
"1450","PAK vs CAN","India","Sports"
"1451","PAK vs USA","India","Sports"
"1452","Pakistan","India","Sports"
"1453","Pakistan vs Canada","India","Sports"
"1454","Rishabh Pant","India","Sports"
"1455","Rohit Sharma","India","Sports"
"1456","SA vs BAN","India","Sports"
"1457","Shai Hope","India","Sports"
"1458","South Africa vs Afghanistan","India","Sports"
"1459","South Africa vs Bangladesh","India","Sports"
"1460","South Africa vs United States","India","Sports"
"1461","Sri Lanka vs South Africa","India","Sports"
"1462","Sunil Chhetri","India","Sports"
"1463","Super 8 T20 World Cup","India","Sports"
"1464","USA vs ENG","India","Sports"
"1465","United States vs Ireland","India","Sports"
"1466","WI vs PNG","India","Sports"
"1467","West Indies vs Afghanistan","India","Sports"
"1468","West Indies vs South Africa","India","Sports"
"1469","Adrian Ugelvik","Indonesia","Sports"
"1470","Albania vs Spanyol","Indonesia","Sports"
"1471","Argentina vs Ekuador","Indonesia","Sports"
"1472","Argentina vs Guatemala","Indonesia","Sports"
"1473","Argentina vs Kanada","Indonesia","Sports"
"1474","Austria vs Prancis","Indonesia","Sports"
"1475","Belanda vs Prancis","Indonesia","Sports"
"1476","Kalki","India","Culture & Society"
"1477","Jasmine Paolini","India","Culture & Society"
"1478","Munjya","India","Culture & Society"
"1479","Munja Movie","India","Culture & Society"
"1480","Nirjala Ekadashi 2024","India","Culture & Society"
"1481","Pakistan","India","Culture & Society"
"1482","Ramoji Rao","India","Culture & Society"
"1483","Bambang Susantono","Indonesia","Culture & Society"
"1484","Nvidia","India","Science & Technology"
"1485","iOS 18","India","Science & Technology"
"1486","Kalki 2898 AD","India","Entertainment"
"1487","Kangana Ranaut News","India","Entertainment"
"1488","Kangana Ranaut slap","India","Entertainment"
"1489","Star","India","Entertainment"
"1490","Nifty","India","Economy"
"1491","Nifty 50","India","Economy"
"1492","Quant Mutual Fund","India","Economy"
"1493","Share Market Today","India","Economy"
"1494","Stanley Lifestyles IPO GMP","India","Economy"
"1495","NEET Result 2024","India","Education"
"1496","SSC CGL","India","Education"
"1497","UGC NET","India","Education"
"1498","UPSC Prelims 2024","India","Education"
"1499","World Environment Day","India","Environment"
"1500","Train Accident","India","Health & Medicine"
"1501","Train accident today","India","Health & Medicine"
"1502","Portugal","India","Travel & Tourism"
"1503","Austria","Indonesia","Travel & Tourism"
"1504","Belgia Vs Slovakia","Indonesia","Sports"
"1505","Belgia vs Rumania","Indonesia","Sports"
"1506","Boston Celtics","Indonesia","Sports"
"1507","Brasil vs Kosta Rika","Indonesia","Sports"
"1508","Ceko vs Turki","Indonesia","Sports"
"1509","Chili vs Argentina","Indonesia","Sports"
"1510","Denmark vs Inggris","Indonesia","Sports"
"1511","Denmark vs Serbia","Indonesia","Sports"
"1512","Euro 2024","Indonesia","Sports"
"1513","F1","Indonesia","Sports"
"1514","Georgia vs Portugal","Indonesia","Sports"
"1515","Hasil Euro 2024","Indonesia","Sports"
"1516","Indonesia U-16","Indonesia","Sports"
"1517","Indonesia Vs Filipina","Indonesia","Sports"
"1518","Indonesia vs Irak","Indonesia","Sports"
"1519","Indonesia vs Panama","Indonesia","Sports"
"1520","Indonesia vs Ukraina","Indonesia","Sports"
"1521","Indonesia vs Ukraina U20","Indonesia","Sports"
"1522","Inggris vs Bosnia dan Herzegovina","Indonesia","Sports"
"1523","Inggris vs Islandia","Indonesia","Sports"
"1524","Inggris vs Slovenia","Indonesia","Sports"
"1525","Inter Miami vs St Louis City","Indonesia","Sports"
"1526","Irak","Indonesia","Sports"
"1527","Italia vs Albania","Indonesia","Sports"
"1528","Italia vs Spanyol","Indonesia","Sports"
"1529","Jadwal Euro 2024","Indonesia","Sports"
"1530","Jadwal Timnas","Indonesia","Sports"
"1531","Jadwal Timnas Indonesia","Indonesia","Sports"
"1532","Jepang U-19 vs Tim nasional sepak Bola U-20 Indonesia","Indonesia","Sports"
"1533","Jerman vs","Indonesia","Sports"
"1534","Jerman vs Skotlandia","Indonesia","Sports"
"1535","Jerman vs Yunani","Indonesia","Sports"
"1536","Kolombia vs Paraguay","Indonesia","Sports"
"1537","Kualifikasi Piala Dunia","Indonesia","Sports"
"1538","Meksiko vs Brasil","Indonesia","Sports"
"1539","Olahraga","Indonesia","Sports"
"1540","Persija","Indonesia","Sports"
"1541","Piala Eropa","Indonesia","Sports"
"1542","Polandia vs Austria","Indonesia","Sports"
"1543","Polandia vs Belanda","Indonesia","Sports"
"1544","Portugal Vs Ceko","Indonesia","Sports"
"1545","Portugal vs","Indonesia","Sports"
"1546","Portugal vs Finlandia","Indonesia","Sports"
"1547","Portugal vs Georgia","Indonesia","Sports"
"1548","Portugal vs Irlandia","Indonesia","Sports"
"1549","Premier League","Indonesia","Sports"
"1550","Bruno Mars Jakarta","Indonesia","Music"
"1551","Byon Combat 3","Indonesia","Science & Technology"
"1552","Infinix","Indonesia","Science & Technology"
"1553","Gmail","Indonesia","Science & Technology"
"1554","Dana","Indonesia","Business & Finance"
"1555","Hierarchy Drama","Indonesia","Culture & Society"
"1556","Kim Bora","Indonesia","Culture & Society"
"1557","Maxime","Indonesia","Culture & Society"
"1558","Prajogo Pangestu","Indonesia","Culture & Society"
"1559","Polwan Bakar Suami","Indonesia","Culture & Society"
"1560","France","Indonesia","Politics"
"1561","Kim Jong Un","Indonesia","Politics"
"1562","Hinsa Siburian","Indonesia","Politics"
"1563","Gaji 13 kapan cair","Indonesia","Health & Medicine"
"1564","Elaelo","Indonesia","Health & Medicine"
"1565","Ipar Adalah Maut","Indonesia","Lifestyle"
"1566","Jerman vs Yunani","Indonesia","Lifestyle"
"1567","Maarten Paes","Indonesia","Lifestyle"
"1568","NMAX Turbo","Indonesia","Lifestyle"
"1569","Idul Adha 2024 Muhammadiyah","Indonesia","Education"
"1570","Niat puasa Idul Adha","Indonesia","Education"
"1571","Niat puasa Tarwiyah","Indonesia","Education"
"1572","Niat sholat Idul Adha","Indonesia","Education"
"1573","Nomor Induk Kependudukan","Indonesia","Education"
"1574","PPDB Jabar","Indonesia","Education"
"1575","PPDB Jateng","Indonesia","Education"
"1576","PPDB Jateng 2024","Indonesia","Education"
"1577","Pengumuman SNBT 2024","Indonesia","Education"
"1578","Puasa Arafah","Indonesia","Education"
"1579","Kate Middleton","Indonesia","Environment"
"1580","Razman Arif Nasution","Indonesia","Health & Medicine"
"1581","Redmi 13","Indonesia","Science & Technology"
"1582","SMPN 216 Jakarta","Indonesia","Education"
"1583","Rumania vs Ukraina","Indonesia","Sports"
"1584","Serbia vs Inggris","Indonesia","Sports"
"1585","Skotlandia Vs Hongaria","Indonesia","Sports"
"1586","Skotlandia vs Swiss","Indonesia","Sports"
"1587","Slovenia vs Denmark","Indonesia","Sports"
"1588","Slovenia vs Serbia","Indonesia","Sports"
"1589","Slowakia vs Ukraina","Indonesia","Sports"
"1590","Spanyol vs Andorra","Indonesia","Sports"
"1591","Swiss vs Jerman","Indonesia","Sports"
"1592","Timnas U-16","Indonesia","Sports"
"1593","Turki vs Georgia","Indonesia","Sports"
"1594","Turki vs Portugal","Indonesia","Sports"
"1595","Ukraina vs Belgia","Indonesia","Sports"
"1596","Uruguay vs Bolivia","Indonesia","Sports"
"1597","Uruguay vs Panama","Indonesia","Sports"
"1598","Vietnam vs Filipina","Indonesia","Sports"
"1599","Donald Sutherland","Israel","Sports"
"1600","ווסרלאוף","Israel","Sports"
"1601","Puasa Dzulhijjah 2024","Indonesia","Culture & Society"
"1602","Puasa Tarwiyah dan Arafah 2024","Indonesia","Culture & Society"
"1603","Selamat hari raya Idul Adha 2024","Indonesia","Culture & Society"
"1604","Ucapan Idul Adha 2024","Indonesia","Culture & Society"
"1605","Viral anak baju biru","Indonesia","Culture & Society"
"1606","H&M","Israel","Culture & Society"
"1607","Juneteenth","Israel","Culture & Society"
"1608","Video","Indonesia","Entertainment"
"1609","Donald Sutherland","Israel","Entertainment"
"1610","גולן כהן","Israel","Entertainment"
"1611","יוסי יהושוע","Israel","Entertainment"
"1612","נינט טייב","Israel","Entertainment"
"1613","שירי מימון","Israel","Entertainment"
"1614","Alfredino Rampi","Italy","Entertainment"
"1615","Andrea Piscina","Italy","Entertainment"
"1616","Bardot serie","Italy","Entertainment"
"1617","Bill Cobbs","Italy","Entertainment"
"1618","Brigitte Bardot","Italy","Entertainment"
"1619","Donald Sutherland","Italy","Entertainment"
"1620","יוליה שמאלוב ברקוביץ","Israel","Sports"
"1621","יוליה שמאלוב-ברקוביץ","Israel","Sports"
"1622","יוסי אבו","Israel","Sports"
"1623","יוסי גינצבורג","Israel","Sports"
"1624","מאיה קיי","Israel","Sports"
"1625","צוף אבוהם","Israel","Sports"
"1626","צליל דקל","Israel","Sports"
"1627","קווה אמאריקה","Israel","Sports"
"1628","קפריסין","Israel","Sports"
"1629","ראה אורית","Israel","Sports"
"1630","Atalanta-Fiorentina","Italy","Sports"
"1631","Belgio-Romania","Italy","Sports"
"1632","Belgio-Slovacchia","Italy","Sports"
"1633","Berrettini","Italy","Sports"
"1634","Calafiori","Italy","Sports"
"1635","Cerundolo","Italy","Sports"
"1636","Copa America","Italy","Sports"
"1637","Croazia-Albania","Italy","Sports"
"1638","Di Lorenzo","Italy","Sports"
"1639","Djokovic","Italy","Sports"
"1640","Donno","Italy","Sports"
"1641","Draft NBA 2024","Italy","Sports"
"1642","Errani","Italy","Sports"
"1643","Europei calcio","Italy","Sports"
"1644","F1","Italy","Sports"
"1645","מאיר ליבין","Israel","Politics"
"1646","מאיר כהן","Israel","Politics"
"1647","מאי גולן","Israel","Politics"
"1648","מאיר שטרית","Israel","Politics"
"1649","מאיר המשיח","Israel","Politics"
"1650","מאיר קילר","Israel","Politics"
"1651","מאיר פולק","Israel","Politics"
"1652","מאי כולנו תלך","Israel","Politics"
"1653","מאיר סבג","Israel","Politics"
"1654","מאיר עמרני","Israel","Politics"
"1655","מאיר תורג'מן","Israel","Politics"
"1656","מאי הפיר","Israel","Politics"
"1657","מאיר שפק","Israel","Politics"
"1658","מאיר שלום","Israel","Politics"
"1659","מאיר חדד","Israel","Politics"
"1660","מאיר המלאך","Israel","Politics"
"1661","מאיר דוידי","Israel","Politics"
"1662","מאיר תמרי","Israel","Politics"
"1663","מאיר מלול","Israel","Politics"
"1664","איתור מאיר חפר","Israel","Politics"
"1665","מאיר עופר","Israel","Politics"
"1666","מאיר דבוש","Israel","Politics"
"1667","מאיר כהן גפני","Israel","Politics"
"1668","מאיר קדים","Israel","Politics"
"1669","מאיר שרה","Israel","Politics"
"1670","מאיר שמח","Israel","Politics"
"1671","מאיר סלע","Israel","Politics"
"1672","מאיר יבלון","Israel","Politics"
"1673","מאיר דרעי","Israel","Politics"
"1674","מאיר זמיר","Israel","Politics"
"1675","שיף הדס","Israel","Politics"
"1676","מאיר נינט הוסלן","Israel","Politics"
"1677","מאיר חזן","Israel","Politics"
"1678","מאיר יום טוב","Israel","Politics"
"1679","מאיר בלינקלר 2","Israel","Politics"
"1680","מאיר יעקבי","Israel","Politics"
"1681","מאיר אדרי","Israel","Politics"
"1682","מאיר כהן שמילביץ","Israel","Politics"
"1683","מאיר שלום בן ציון","Israel","Politics"
"1684","מאיר פינקלשטיין","Israel","Politics"
"1685","מאיר רות פוגל","Israel","Politics"
"1686","מאיר ליבילר","Israel","Politics"
"1687","מאיר לנדאו","Israel","Politics"
"1688","מאיר שדה","Israel","Politics"
"1689","מאיר לוי לוח","Israel","Politics"
"1690","שבול מאיר שטרית","Israel","Politics"
